,capital_used,ending_cash,ending_value,orders,period_close,period_open,pnl,portfolio_value,positions,returns,starting_cash,starting_value,transactions
2005-03-24 15:00:00,-47629.2845,14559253.1151,1245480.0,"[{'status': 0, 'created': datetime.datetime(2005, 2, 2, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 385.3074, 'amount': 2752300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 3, 24, 0, 0, tzinfo=<UTC>), 'id': 'ff58b3ee46dc4d69b6b4bc0067c24094', 'filled': 210400}]",2005-03-24 15:00:00+00:00,2005-03-24 09:31:00+00:00,22375.7155,15804733.1151,"[{'amount': 232800, 'last_sale_price': 5.35, 'cost_basis': 6.037015008189275, 'sid': '2010000094'}]",0.00141776763341,14606882.3996,1175475.0,"[{'commission': 14.284499999999998, 'amount': 8900, 'sid': '2010000094', 'order_id': 'ff58b3ee46dc4d69b6b4bc0067c24094', 'price': 5.351604999999999, 'dt': datetime.datetime(2005, 3, 24, 0, 0, tzinfo=<UTC>)}]"
2005-03-25 15:00:00,-31689.504,14527563.6111,1260864.0,"[{'status': 0, 'created': datetime.datetime(2005, 1, 24, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 430.76430000000005, 'amount': 2614300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 3, 25, 0, 0, tzinfo=<UTC>), 'id': '7410cc799fa84326ab017da7ba1d6bfe', 'filled': 242400}]",2005-03-25 15:00:00+00:00,2005-03-25 09:31:00+00:00,-16305.504,15788427.6111,"[{'amount': 238800, 'last_sale_price': 5.28, 'cost_basis': 6.018034329591555, 'sid': '2010000094'}]",-0.00103168486815,14559253.1151,1245480.0,"[{'commission': 9.504, 'amount': 6000, 'sid': '2010000094', 'order_id': '7410cc799fa84326ab017da7ba1d6bfe', 'price': 5.2815840000000005, 'dt': datetime.datetime(2005, 3, 25, 0, 0, tzinfo=<UTC>)}]"
2005-03-28 15:00:00,54319.293,14581882.9041,1182594.0,"[{'status': 0, 'created': datetime.datetime(2005, 3, 10, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 271.5895, 'amount': -2752300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 3, 28, 0, 0, tzinfo=<UTC>), 'id': '9f033e76fe2a4a46bf85972db0e5d055', 'filled': -39000}]",2005-03-28 15:00:00+00:00,2005-03-28 09:31:00+00:00,-23950.707,15764476.9041,"[{'amount': 228300, 'last_sale_price': 5.18, 'cost_basis': 6.018034329591555, 'sid': '2010000094'}]",-0.0015169786118,14527563.6111,1260864.0,"[{'commission': 70.707, 'amount': -10500, 'sid': '2010000094', 'order_id': '9f033e76fe2a4a46bf85972db0e5d055', 'price': 5.173266, 'dt': datetime.datetime(2005, 3, 28, 0, 0, tzinfo=<UTC>)}]"
2005-03-29 15:00:00,85496.7096,14667379.6137,1106118.0,"[{'status': 0, 'created': datetime.datetime(2005, 1, 27, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 1535.7251, 'amount': -2614300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 3, 29, 0, 0, tzinfo=<UTC>), 'id': 'ebf89bf1524942c982ad80f4a67be56c', 'filled': -201900}]",2005-03-29 15:00:00+00:00,2005-03-29 09:31:00+00:00,9020.7096,15773497.6137,"[{'amount': 211900, 'last_sale_price': 5.22, 'cost_basis': 6.018034329591555, 'sid': '2010000094'}]",0.000572217502355,14581882.9041,1182594.0,"[{'commission': 111.29039999999999, 'amount': -16400, 'sid': '2010000094', 'order_id': 'ebf89bf1524942c982ad80f4a67be56c', 'price': 5.213214, 'dt': datetime.datetime(2005, 3, 29, 0, 0, tzinfo=<UTC>)}]"
2005-03-30 15:00:00,-39127.7348,14628251.8789,1115568.0,"[{'status': 0, 'created': datetime.datetime(2005, 2, 2, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 397.0422, 'amount': 2752300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 3, 30, 0, 0, tzinfo=<UTC>), 'id': 'ff58b3ee46dc4d69b6b4bc0067c24094', 'filled': 218100}]",2005-03-30 15:00:00+00:00,2005-03-30 09:31:00+00:00,-29677.7348,15743819.8789,"[{'amount': 219600, 'last_sale_price': 5.08, 'cost_basis': 5.98519676339003, 'sid': '2010000094'}]",-0.00188149359938,14667379.6137,1106118.0,"[{'commission': 11.7348, 'amount': 7700, 'sid': '2010000094', 'order_id': 'ff58b3ee46dc4d69b6b4bc0067c24094', 'price': 5.081524, 'dt': datetime.datetime(2005, 3, 30, 0, 0, tzinfo=<UTC>)}]"
2005-03-31 15:00:00,-53671.0965,14574580.7824,1175811.0,"[{'status': 0, 'created': datetime.datetime(2005, 1, 24, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 446.86080000000004, 'amount': 2614300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 3, 31, 0, 0, tzinfo=<UTC>), 'id': '7410cc799fa84326ab017da7ba1d6bfe', 'filled': 252900}]",2005-03-31 15:00:00+00:00,2005-03-31 09:31:00+00:00,6571.9035,15750391.7824,"[{'amount': 230100, 'last_sale_price': 5.11, 'cost_basis': 5.945329446938072, 'sid': '2010000094'}]",0.000417427508098,14628251.8789,1115568.0,"[{'commission': 16.0965, 'amount': 10500, 'sid': '2010000094', 'order_id': '7410cc799fa84326ab017da7ba1d6bfe', 'price': 5.1115330000000005, 'dt': datetime.datetime(2005, 3, 31, 0, 0, tzinfo=<UTC>)}]"
2005-04-01 15:00:00,97576.9848,14672157.7672,1124127.0,"[{'status': 0, 'created': datetime.datetime(2005, 3, 10, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 398.6047, 'amount': -2752300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 1, 0, 0, tzinfo=<UTC>), 'id': '9f033e76fe2a4a46bf85972db0e5d055', 'filled': -57400}]",2005-04-01 15:00:00+00:00,2005-04-01 09:31:00+00:00,45892.9848,15796284.7672,"[{'amount': 211700, 'last_sale_price': 5.31, 'cost_basis': 5.945329446938072, 'sid': '2010000094'}]",0.00291376782457,14574580.7824,1175811.0,"[{'commission': 127.0152, 'amount': -18400, 'sid': '2010000094', 'order_id': '9f033e76fe2a4a46bf85972db0e5d055', 'price': 5.303096999999999, 'dt': datetime.datetime(2005, 4, 1, 0, 0, tzinfo=<UTC>)}]"
2005-04-04 15:00:00,66992.796,14739150.5632,1033760.0,"[{'status': 0, 'created': datetime.datetime(2005, 1, 27, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 1622.9291, 'amount': -2614300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 4, 0, 0, tzinfo=<UTC>), 'id': 'ebf89bf1524942c982ad80f4a67be56c', 'filled': -214800}]",2005-04-04 15:00:00+00:00,2005-04-04 09:31:00+00:00,-23374.204,15772910.5632,"[{'amount': 198800, 'last_sale_price': 5.2, 'cost_basis': 5.945329446938072, 'sid': '2010000094'}]",-0.00147972794518,14672157.7672,1124127.0,"[{'commission': 87.20400000000001, 'amount': -12900, 'sid': '2010000094', 'order_id': 'ebf89bf1524942c982ad80f4a67be56c', 'price': 5.19324, 'dt': datetime.datetime(2005, 4, 4, 0, 0, tzinfo=<UTC>)}]"
2005-04-05 15:00:00,-118818.6349,14620331.9283,1106819.0,"[{'status': 0, 'created': datetime.datetime(2005, 2, 2, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 432.6771, 'amount': 2752300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 5, 0, 0, tzinfo=<UTC>), 'id': 'ff58b3ee46dc4d69b6b4bc0067c24094', 'filled': 242000}]",2005-04-05 15:00:00+00:00,2005-04-05 09:31:00+00:00,-45759.6349,15727150.9283,"[{'amount': 222700, 'last_sale_price': 4.97, 'cost_basis': 5.840817821963578, 'sid': '2010000094'}]",-0.00290115351359,14739150.5632,1033760.0,"[{'commission': 35.634899999999995, 'amount': 23900, 'sid': '2010000094', 'order_id': 'ff58b3ee46dc4d69b6b4bc0067c24094', 'price': 4.971490999999999, 'dt': datetime.datetime(2005, 4, 5, 0, 0, tzinfo=<UTC>)}]"
2005-04-06 15:00:00,-78918.6685,14541413.2598,1212438.0,"[{'status': 0, 'created': datetime.datetime(2005, 1, 24, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 470.52930000000003, 'amount': 2614300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 6, 0, 0, tzinfo=<UTC>), 'id': '7410cc799fa84326ab017da7ba1d6bfe', 'filled': 268400}]",2005-04-06 15:00:00+00:00,2005-04-06 09:31:00+00:00,26700.3315,15753851.2598,"[{'amount': 238200, 'last_sale_price': 5.09, 'cost_basis': 5.792060442700624, 'sid': '2010000094'}]",0.00169772208722,14620331.9283,1106819.0,"[{'commission': 23.668499999999998, 'amount': 15500, 'sid': '2010000094', 'order_id': '7410cc799fa84326ab017da7ba1d6bfe', 'price': 5.091527, 'dt': datetime.datetime(2005, 4, 6, 0, 0, tzinfo=<UTC>)}]"
2005-04-07 15:00:00,160371.246,14701784.5058,1073296.0,"[{'status': 0, 'created': datetime.datetime(2005, 3, 10, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 607.3587, 'amount': -2752300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 7, 0, 0, tzinfo=<UTC>), 'id': '9f033e76fe2a4a46bf85972db0e5d055', 'filled': -88400}, {'status': 0, 'created': datetime.datetime(2005, 4, 7, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': None, 'amount': 2838100, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 7, 0, 0, tzinfo=<UTC>), 'id': '9bd555f9f4564e00b4235a324564a5d8', 'filled': 0}]",2005-04-07 15:00:00+00:00,2005-04-07 09:31:00+00:00,21229.246,15775080.5058,"[{'amount': 207200, 'last_sale_price': 5.18, 'cost_basis': 5.792060442700624, 'sid': '2010000094'}]",0.00134755912379,14541413.2598,1212438.0,"[{'commission': 208.754, 'amount': -31000, 'sid': '2010000094', 'order_id': '9f033e76fe2a4a46bf85972db0e5d055', 'price': 5.173266, 'dt': datetime.datetime(2005, 4, 7, 0, 0, tzinfo=<UTC>)}]"
2005-04-08 15:00:00,85748.382,14787532.8878,1012300.0,"[{'status': 0, 'created': datetime.datetime(2005, 1, 27, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 1734.5471, 'amount': -2614300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 8, 0, 0, tzinfo=<UTC>), 'id': 'ebf89bf1524942c982ad80f4a67be56c', 'filled': -231000}]",2005-04-08 15:00:00+00:00,2005-04-08 09:31:00+00:00,24752.382,15799832.8878,"[{'amount': 191000, 'last_sale_price': 5.3, 'cost_basis': 5.792060442700624, 'sid': '2010000094'}]",0.00156908118414,14701784.5058,1073296.0,"[{'commission': 111.61800000000001, 'amount': -16200, 'sid': '2010000094', 'order_id': 'ebf89bf1524942c982ad80f4a67be56c', 'price': 5.2931099999999995, 'dt': datetime.datetime(2005, 4, 8, 0, 0, tzinfo=<UTC>)}]"
2005-04-11 15:00:00,-66547.9584,14720984.9294,1075008.0,"[{'status': 0, 'created': datetime.datetime(2005, 2, 2, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 452.6355, 'amount': 2752300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 11, 0, 0, tzinfo=<UTC>), 'id': 'ff58b3ee46dc4d69b6b4bc0067c24094', 'filled': 254600}]",2005-04-11 15:00:00+00:00,2005-04-11 09:31:00+00:00,-3839.9584,15795992.9294,"[{'amount': 203600, 'last_sale_price': 5.28, 'cost_basis': 5.760469071492235, 'sid': '2010000094'}]",-0.000243037912316,14787532.8878,1012300.0,"[{'commission': 19.958399999999997, 'amount': 12600, 'sid': '2010000094', 'order_id': 'ff58b3ee46dc4d69b6b4bc0067c24094', 'price': 5.2815840000000005, 'dt': datetime.datetime(2005, 4, 11, 0, 0, tzinfo=<UTC>)}]"
2005-04-12 15:00:00,-60106.0264,14660878.903,1114736.0,"[{'status': 0, 'created': datetime.datetime(2005, 1, 24, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 488.55570000000006, 'amount': 2614300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 12, 0, 0, tzinfo=<UTC>), 'id': '7410cc799fa84326ab017da7ba1d6bfe', 'filled': 280000}]",2005-04-12 15:00:00+00:00,2005-04-12 09:31:00+00:00,-20378.0264,15775614.903,"[{'amount': 215200, 'last_sale_price': 5.18, 'cost_basis': 5.72926361224823, 'sid': '2010000094'}]",-0.00129007568509,14720984.9294,1075008.0,"[{'commission': 18.0264, 'amount': 11600, 'sid': '2010000094', 'order_id': '7410cc799fa84326ab017da7ba1d6bfe', 'price': 5.181553999999999, 'dt': datetime.datetime(2005, 4, 12, 0, 0, tzinfo=<UTC>)}]"
2005-04-13 15:00:00,159692.13,14820571.033,987116.0,"[{'status': 0, 'created': datetime.datetime(2005, 3, 10, 0, 0, tzinfo=<UTC>), 'limit_reached': False, 'stop': None, 'stop_reached': False, 'commission': 815.2287, 'amount': -2752300, 'limit': None, 'sid': '2010000094', 'dt': datetime.datetime(2005, 4, 13, 0, 0, tzinfo=<UTC>), 'id': '9f033e76fe2a4a46bf85972db0e5d055', 'filled': -118400}]",2005-04-13 15:00:00+00:00,2005-04-13 09:31:00+00:00,32072.13,15807687.033,"[{'amount': 185200, 'last_sale_price': 5.33, 'cost_basis': 5.72926361224823, 'sid': '2010000094'}]",0.00203301932744,14660878.903,1114736.0,"[{'commission': 207.87, 'amount': -30000, 'sid': '2010000094', 'order_id': '9f033e76fe2a4a46bf85972db0e5d055', 'price': 5.323071, 'dt': datetime.datetime(2005, 4, 13, 0, 0, tzinfo=<UTC>)}]"
