,amount,commission,sid,status,time,symbol
1144,400,1.7184,2010003349,1,2015/12/16,002303
1145,-900,17.6787,2010003539,1,2015/12/16,300058
1146,600,1.6524,2010003570,1,2015/12/15,601158
1147,800,2.2032,2010003570,1,2015/12/16,601158
1148,100,1.0452,2010003622,1,2015/12/15,002399
1149,200,3.5292,2010005044,1,2015/12/16,300288
1150,-1800,39.2652,2010000059,1,2015/12/17,600074
1151,-600,16.146,2010000089,1,2015/12/17,600104
1152,-800,25.9376,2010000156,1,2015/12/17,600180
1153,-700,21.8309,2010000171,1,2015/12/17,600196
1154,-600,35.997,2010000381,1,2015/12/17,600446
1155,-3600,52.6032,2010000477,1,2015/12/17,600565
1156,-900,56.3472,2010000577,1,2015/12/17,600666
1157,-1700,22.6083,2010000855,1,2015/12/17,601169
1158,-5600,90.1992,2010001017,1,2015/12/17,000402
1159,-2300,31.7538,2010001083,1,2015/12/17,000540
1160,-500,19.162,2010001228,1,2015/12/17,000712
1161,-1300,21.1588,2010001278,1,2015/12/17,000783
1162,-900,30.3615,2010001333,1,2015/12/17,000858
1163,-2200,43.186,2010001447,1,2015/12/17,002004
1164,-500,25.6815,2010003325,1,2015/12/17,300003
1165,-2300,41.8002,2010003349,1,2015/12/17,002303
1166,-2000,23.79,2010003570,1,2015/12/17,601158
1167,-300,13.5213,2010003622,1,2015/12/17,002399
1168,-1200,98.28,2010005044,1,2015/12/17,300288
1169,-600,12.714,2010000059,1,2015/12/18,600074
1170,-1400,39.312,2010000089,1,2015/12/18,600104
1171,-700,22.0584,2010000156,1,2015/12/18,600180
1172,-900,28.7118,2010000171,1,2015/12/18,600196
1173,-300,15.9549,2010000279,1,2015/12/17,600315
1174,-300,17.6826,2010000381,1,2015/12/18,600446
1175,-2200,33.0902,2010000477,1,2015/12/18,600565
1176,-400,25.012,2010000577,1,2015/12/18,600666
1177,-3000,40.872,2010000855,1,2015/12/18,601169
1178,-1100,19.4909,2010001017,1,2015/12/18,000402
1179,-1900,27.0712,2010001083,1,2015/12/18,000540
1180,-1700,65.7033,2010001228,1,2015/12/18,000712
1181,-1800,29.6478,2010001278,1,2015/12/18,000783
1182,-1400,50.3958,2010001333,1,2015/12/18,000858
1183,-1000,19.851,2010001447,1,2015/12/18,002004
1184,-700,36.4,2010003325,1,2015/12/18,300003
1185,-900,16.1811,2010003349,1,2015/12/18,002303
1186,-2000,38.532,2010003539,1,2015/12/17,300058
1187,-2800,34.3616,2010003570,1,2015/12/18,601158
1188,-700,32.1048,2010003622,1,2015/12/18,002399
1189,-1100,96.811,2010005044,1,2015/12/18,300288
1190,29500,202.7535,2010000650,1,2015/12/17,600739
1191,64700,183.4245,2010000996,1,2015/12/18,000069
1192,169800,175.743,2010001225,1,2015/12/18,000709
1193,-1800,50.427,2010000089,1,2015/12/21,600104
1194,-1000,31.564,2010000171,1,2015/12/21,600196
1195,-1700,89.726,2010000279,1,2015/12/21,600315
1196,-2600,38.5996,2010000477,1,2015/12/21,600565
1197,-300,18.525,2010000577,1,2015/12/21,600666
1198,-4100,131.4911,2010000650,1,2015/12/21,600739
1199,-2600,35.1182,2010000855,1,2015/12/21,601169
1200,-3100,38.0029,2010000996,1,2015/12/21,000069
1201,-5300,93.7729,2010001017,1,2015/12/21,000402
1202,-2900,41.093,2010001083,1,2015/12/21,000540
1203,-1200,5.3664,2010001225,1,2015/12/21,000709
1204,-600,23.517,2010001228,1,2015/12/21,000712
1205,-1500,25.467,2010001278,1,2015/12/21,000783
1206,-1900,68.3943,2010001333,1,2015/12/21,000858
1207,-1300,25.3331,2010001447,1,2015/12/21,002004
1208,-500,26.2665,2010003325,1,2015/12/21,300003
1209,-500,9.178,2010003349,1,2015/12/21,002303
1210,-1900,36.1361,2010003539,1,2015/12/21,300058
1211,-3300,40.2831,2010003570,1,2015/12/21,601158
1212,-700,31.8045,2010003622,1,2015/12/21,002399
1213,-900,76.635,2010005044,1,2015/12/21,300288
1214,-500,10.478,2010000059,1,2015/12/22,600074
1215,-400,23.8472,2010000381,1,2015/12/22,600446
1216,-1700,53.1726,2010000650,1,2015/12/22,600739
1217,-200,7.8338,2010001228,1,2015/12/22,000712
1218,-1300,22.0545,2010001278,1,2015/12/22,000783
1219,-100,5.148,2010003325,1,2015/12/22,300003
1220,-800,14.196,2010003349,1,2015/12/22,002303
1221,100,0.4749,2010000059,1,2015/12/21,600074
1222,-500,10.2895,2010000059,1,2015/12/23,600074
1223,-1500,42.471,2010000089,1,2015/12/23,600104
1224,200,1.4016,2010000156,1,2015/12/22,600180
1225,-800,24.2944,2010000156,1,2015/12/23,600180
1226,200,1.4292,2010000171,1,2015/12/22,600196
1227,-800,24.7728,2010000171,1,2015/12/23,600196
1228,-600,31.629,2010000279,1,2015/12/23,600315
1229,-300,17.7099,2010000381,1,2015/12/23,600446
1230,700,2.3646,2010000477,1,2015/12/22,600565
1231,-100,1.4638,2010000477,1,2015/12/23,600565
1232,100,1.3746,2010000577,1,2015/12/22,600666
1233,-300,17.8698,2010000577,1,2015/12/23,600666
1234,-500,15.1255,2010000650,1,2015/12/23,600739
1235,500,1.6485,2010000855,1,2015/12/22,601169
1236,-3000,42.861,2010000855,1,2015/12/23,601169
1237,200,0.5556,2010000996,1,2015/12/22,000069
1238,-3500,42.133,2010000996,1,2015/12/23,000069
1239,100,0.3894,2010001017,1,2015/12/22,000402
1240,-2400,40.4976,2010001017,1,2015/12/23,000402
1241,300,0.9369,2010001083,1,2015/12/22,000540
1242,-1500,20.2995,2010001083,1,2015/12/23,000540
1243,900,0.9072,2010001225,1,2015/12/22,000709
1244,-2700,11.7936,2010001225,1,2015/12/23,000709
1245,-900,34.0704,2010001228,1,2015/12/23,000712
1246,-2000,32.318,2010001278,1,2015/12/23,000783
1247,-800,28.756,2010001333,1,2015/12/23,000858
1248,700,3.0849,2010001447,1,2015/12/22,002004
1249,-1200,22.9164,2010001447,1,2015/12/23,002004
1250,-400,20.618,2010003325,1,2015/12/23,300003
1251,-400,6.9732,2010003349,1,2015/12/23,002303
1252,500,2.1585,2010003539,1,2015/12/22,300058
1253,-1700,31.8019,2010003539,1,2015/12/23,300058
1254,300,0.8532,2010003570,1,2015/12/22,601158
1255,-1900,23.4156,2010003570,1,2015/12/23,601158
1256,100,1.0746,2010003622,1,2015/12/22,002399
1257,-1200,55.8792,2010003622,1,2015/12/23,002399
1258,300,5.7411,2010005044,1,2015/12/22,300288
1259,-500,41.4635,2010005044,1,2015/12/23,300288
1260,100,0.4884,2010000059,1,2015/12/24,600074
1261,-200,5.681,2010000089,1,2015/12/24,600104
1262,200,1.4202,2010000156,1,2015/12/24,600180
1263,-100,3.1122,2010000171,1,2015/12/24,600196
1264,-100,5.3807,2010000279,1,2015/12/24,600315
1265,-900,16.7778,2010000446,1,2015/12/24,600528
1266,-2000,29.64,2010000477,1,2015/12/24,600565
1267,400,2.7912,2010000650,1,2015/12/24,600739
1268,-3000,42.822,2010000855,1,2015/12/24,601169
1269,1000,2.802,2010000996,1,2015/12/24,000069
1270,1900,7.2903,2010001017,1,2015/12/24,000402
1271,900,2.6109,2010001083,1,2015/12/24,000540
1272,-3100,13.4602,2010001225,1,2015/12/24,000709
1273,1500,5.6205,2010001278,1,2015/12/24,000783
1274,-400,14.1024,2010001333,1,2015/12/24,000858
1275,-100,1.9188,2010001447,1,2015/12/24,002004
1276,-200,10.1816,2010003325,1,2015/12/24,300003
1277,100,0.4299,2010003539,1,2015/12/24,300058
1278,-2100,25.6347,2010003570,1,2015/12/24,601158
1279,-200,14.0426,2010003603,1,2015/12/16,300070
1280,200,3.7566,2010005044,1,2015/12/24,300288
1281,38000,163.935,2010000446,1,2015/12/23,600528
1282,-900,19.5039,2010000059,1,2015/12/25,600074
1283,-100,2.7573,2010000089,1,2015/12/25,600104
